id,category,campaign_stage,tip,why_it_works,region,confidence,evidence,source,source_url,source_date
rc-098,content_social,attract,"Repurpose every interview, panel and team photo across channels for a month. One asset, many surfaces.",Repurposing stretches limited content budget and reinforces brand recall.,global,medium,Consistent multi-surface presence lifts employer brand recall,Sprout Social,https://sproutsocial.com/insights/employee-influencers/,2024-06
rc-099,content_social,attract,Pin the role at the top of the company LinkedIn page until it closes. Pin replacements are free reach.,Pinned posts capture every profile visit during the campaign.,global,medium,LinkedIn page optimisation tactic,Burnett,https://burnettspecialists.com/blog/leveraging-social-media-for-recruiting-best-practices-for-2025/,2025-01
rc-100,content_social,attract,"Pair every social post with a direct apply link, not a careers-page link. Every extra click loses candidates.",Reducing clicks from interest to apply lifts conversion.,global,medium,Mobile drop-off rises with every click,Pin,https://www.pin.com/blog/applicant-drop-off-rates/,2025-12
rc-101,talent_pooling,engage,"Tag every silver-medalist candidate in the ATS with the role, the score and a re-engage date.","Silver-medalist re-engagement is the fastest, cheapest fill on the next role.",global,high,Silver-medalist re-engagement converts at 50%+,Hootrecruit,https://hootrecruit.com/blog/passive-talent-sourcing/,2024-10
rc-102,talent_pooling,engage,"Send a quarterly update to your talent pool with one role, one story and one company milestone.","Light, regular touches keep the pool warm without overwhelming.",global,medium,Monthly to quarterly cadence is the recommended baseline,Gem,https://www.gem.com/blog/talent-pool-management,2024-09
rc-103,talent_pooling,engage,Ask candidates if they want to join the talent pool when they decline an offer or are rejected.,Explicit opt-in talent pools are higher-quality and lower legal risk than silent retention.,global,medium,Pool consent improves engagement,Gem,https://www.gem.com/blog/best-practices-for-organizing-and-nurturing-talent-pools-for-recruiters,2024-07
rc-104,talent_pooling,engage,Build a small talent pool of internal employees who could be promoted. Internal hires fill in 10 to 15 days.,Internal talent visibility shortens fills and lifts retention.,global,high,Internal hires fill in 10 to 15 days vs 42 days external,Phenom,https://www.phenom.com/blog/what-is-talent-marketplace,2024-05
rc-105,talent_pooling,engage,"Personalise nurture emails with the candidate's name, the role they applied for and a relevant update.",Personalisation is the strongest predictor of nurture engagement.,global,medium,Personalised nurture lifts open and reply rates,Gem,https://www.gem.com/blog/best-practices-for-organizing-and-nurturing-talent-pools-for-recruiters,2024-07
rc-106,talent_pooling,engage,"Tag candidates by skill, not by job title. Skills tags age better and surface candidates for adjacent roles.",Skills-based tagging widens future re-use of the pool.,global,medium,Skills-based matching lifts pool reach by up to 6x,LinkedIn,https://business.linkedin.com/talent-solutions/resources/future-of-recruiting,2025-01
rc-107,measurement,analyse,Pick five KPIs for the campaign and review them every week. More than five becomes background noise.,Focused dashboards drive weekly action; wide dashboards drive contemplation.,global,high,Three to five KPIs reviewed weekly is the recommended cadence,AIHR,https://www.aihr.com/blog/recruitment-dashboard/,2024-11
rc-108,measurement,analyse,"Track time-to-fill, time-to-hire, applicant-to-interview, interview-to-offer and offer acceptance every week.",These five metrics cover the full funnel and surface every meaningful bottleneck.,global,high,Standard recruitment dashboard composition,AIHR,https://www.aihr.com/blog/recruitment-dashboard/,2024-11
rc-109,measurement,analyse,"Use a 42 day time-to-fill global benchmark or 32 days for AU. Above those, investigate.",Comparison to benchmarks turns numbers into decisions.,global,high,SHRM 42 day average and SmartRecruiters AU 32 day median,SHRM,https://www.shrm.org/about/press-room/shrm-releases-2025-benchmarking-reports--how-does-your-organizat,2025-08
rc-110,measurement,analyse,"Track cost per hire. Average non-executive cost per hire is around $5,500 USD.",CPH anchors channel ROI decisions and budget conversations.,global,high,"SHRM 2025 non-executive CPH $5,475",SHRM,https://www.shrm.org/about/press-room/shrm-releases-2025-benchmarking-reports--how-does-your-organizat,2025-08
rc-111,measurement,analyse,Score quality of hire at 90 days using a one-question manager rating: would you hire them again.,A single repeated question is more reliable than a complex framework for small teams.,global,medium,66% of TA pros use manager ratings for QoH,LinkedIn,https://business.linkedin.com/talent-solutions/resources/future-of-recruiting,2025-01
rc-112,measurement,analyse,Combine 90-day manager rating with 12-month retention to get a usable quality-of-hire signal.,Pre-hire and post-hire signals together beat either alone.,global,high,Two-category quality-of-hire framework,Ashby,https://www.ashbyhq.com/blog/recruiting/quality-of-hire,2024-09
rc-113,measurement,analyse,"Ask applicants where they first heard about the role, in their own words. Open-text answers surface real influence.",Last-touch source-of-hire misses the channel that actually influenced the candidate.,global,high,"Source-of-hire reflects application channel, not influence",Rally Recruitment Marketing,https://rallyrecruitmentmarketing.com/2026/05/source-of-hire-recruitment-marketing-attribution/,2025-05
rc-114,measurement,analyse,"Compare channel cost per quality hire, not cost per application. Cheap clicks can be expensive hires.",Quality-weighted channel cost is the only honest spend metric.,global,high,Quality-weighted attribution outperforms volume-weighted,Beamery,https://beamery.com/blog/recruitment-marketing-measurement,2024-07
rc-115,measurement,analyse,Aim for a healthy interview-to-offer rate between 25% and 38%. Below 15% means calibration or quality issues.,Bench mark anchors expose either intake or interview-design problems.,global,high,"Industry average 15 to 25%, top performers 28 to 38%",Pin,https://www.pin.com/blog/recruitment-funnel-benchmarks/,2025-12
rc-116,measurement,analyse,Aim for offer acceptance above 85%. Below 70% signals speed or pay issues.,Acceptance rate is the cleanest decision-stage signal.,global,high,"Healthy 85 to 90%, poor under 70%",HRBench,https://www.hrbench.com/resource/learn/offer-acceptance-rate,2024-08
rc-117,measurement,analyse,"Measure candidate NPS after every campaign. Above zero is acceptable, 30 plus is the goal.",CNPS surfaces friction the team cannot see internally.,global,high,Standard NPS interpretation,Starred,https://www.starred.com/blog/candidate-nps-benchmarks-what-are-they,2024-06
rc-118,measurement,analyse,"After the campaign, write a short retrospective with one thing to keep and one to change for next time.",Continuous improvement compounds across campaigns; ad hoc reflection does not.,global,medium,Cadence-based review is the recommended dashboard discipline,AIHR,https://www.aihr.com/blog/recruitment-dashboard/,2024-11
rc-119,measurement,analyse,Track applicant-to-interview rate. The industry average is around 2%; under 1% means top-of-funnel problems.,Top-of-funnel ratio diagnoses ad and channel problems early.,global,medium,2% applicant-to-interview industry average,CleverConnect,https://www.cleverconnect.com/glossaries/conversion-recruitment-definition-calculations,2024-06
rc-120,measurement,analyse,Watch first-week application volume as the leading indicator. Slow starts almost never recover.,"Early signal lets you fix the ad or channel mix in week one, not week four.",global,medium,Week-one volume predicts campaign outcome,CareerPlug,https://www.careerplug.com/recruiting-metrics-and-kpis/,2025-02
rc-121,candidate_experience,engage,Confirm interview slot acceptance by SMS within 30 minutes. Texts close the loop where email does not.,Most texts are read within three minutes; same-day confirmation reduces no-shows.,global,high,"SMS 98% open rate, 3-minute read time",Hireserve,https://hireserve.com/benefits-of-using-sms-for-candidate-communications/,2024-04
rc-122,candidate_experience,engage,Run a five-minute pre-interview call to set context. Cold interviews waste both sides' time.,Light pre-interview contact lifts interview-to-offer conversion.,global,medium,Recruiter touch predicts candidate engagement,Greenhouse,https://www.greenhouse.com/blog/greenhouse-2024-state-of-job-hunting-report,2024-12
rc-123,candidate_experience,offer,"Tell the candidate verbally before sending the rejection email. For finalists, do not let the email be the news.",Verbal first-rejection protects employer brand and silver-medalist warmth.,global,medium,Candidate resentment is at record levels in 2024,Talent Board,https://www.ere.net/articles/12-key-takeaways-from-the-2024-candidate-experience-benchmark-research,2024-12
rc-124,candidate_experience,offer,Confirm the start date in writing with a welcome note from the hiring manager within 24 hours of acceptance.,Quick post-acceptance touchpoints reduce renege risk in the gap before start.,global,medium,Offer-to-start gap is a known reneging window,Pin,https://www.pin.com/blog/applicant-drop-off-rates/,2025-12
rc-125,job_ad,attract,"Keep the application form under five minutes, including resume upload. Apply rate quadruples vs 15-minute forms.",Forms under 5 minutes convert at 12.5% vs 3.6% for forms over 15 minutes.,global,high,Appcast and HirezApp form length benchmarks,Appcast,https://www.appcast.io/how-to-write-a-job-ad-that-converts/,2024-03
rc-126,job_ad,attract,Cut the form to ten required fields or fewer. Every extra field cuts completion by 10 to 15%.,Field-count discipline is the highest-leverage apply-flow optimisation.,global,high,"4-to-3-field reduction lifts conversion 50%, 11-to-4 lifts 120%",FoundryCRO,https://foundrycro.com/blog/form-conversion-rate-benchmarks-2026/,2025-11
rc-127,job_ad,attract,Test the application on a phone before launching. Mobile drop-off is 30 to 50% higher on non-mobile-first sites.,67% of applications are submitted on mobile; phone-first testing prevents leaks.,global,high,Mobile applicants drop off 30-50% more on non-mobile-first apply flows,HireVire,https://hirevire.com/articles/mobile-recruitment-statistics,2024-08
rc-128,job_ad,attract,Allow resume upload by file or autofill from LinkedIn. Manual re-typing is the biggest mobile drop-off trigger.,Easy file paths protect mobile completion rates.,global,medium,Mobile applicants take 80% longer per field,HireVire,https://hirevire.com/articles/mobile-recruitment-statistics,2024-08
rc-129,job_ad,attract,Show a progress bar on multi-step applications. Knowing they are nearly done lifts completion materially.,Progress indicators reduce abandonment on longer forms.,global,medium,3 to 4 step forms with progress indicators outperform,FoundryCRO,https://foundrycro.com/blog/form-conversion-rate-benchmarks-2026/,2025-11
rc-130,job_ad,attract,Do not ask for the same data twice. Auto-fill name and email from the resume parse.,Duplicate fields are a top mid-application drop-off trigger.,global,medium,Form duplication kills completion,HireZapp,https://www.hirezapp.com/blogs/application-completion-rate-how-to-reduce-abandonment,2024-09
rc-131,strategy,plan,Decide whether the role is volume or specialist before choosing channels. Volume needs SEEK and Indeed; specialist needs LinkedIn and direct sourcing.,"Channel mix should match role shape, not recruiter preference.",global,medium,LinkedIn 25% interview-to-offer for specialist; Indeed 76% hires for volume,Breezy HR,https://marketing.breezy.hr/blog/indeed-vs-linkedin,2025-03
rc-132,strategy,plan,"For AU healthcare, education, construction, engineering or science roles, plan a longer campaign and a smaller channel mix.",These are the five sectors with persistent AU shortages.,AU,high,Most affected AU sectors per JSA 2025,Jobs and Skills Australia,https://www.jobsandskills.gov.au/data/occupation-shortage,2025-10
rc-133,strategy,plan,Brief the team on overseas candidates if local pipelines are thin. Six in ten AU employers now use overseas talent.,AU SMEs need to plan for this realistically rather than assume local pipelines.,AU,high,60% of AU employers use overseas talent for shortages,AHRI,https://www.ahri.com.au/wp-content/uploads/AHRI-WorkOutlook-Report-Q1.pdf,2024-06
rc-134,strategy,analyse,"After three campaigns, compare your benchmarks against AU norms: 32 days time-to-hire, 65 applicants per hire.",Benchmark comparison surfaces where the team is structurally above or below market.,AU,high,AU benchmarks per SmartRecruiters 2025,SmartRecruiters,https://www.smartrecruiters.com/blog/australia-benchmark-recruiting-metrics/,2025-03
rc-135,employer_brand,attract,"Show one piece of evidence for every EVP claim. If you say flexibility, show the rota; if growth, show a promotion path.",Evidence-backed claims outperform abstract promises and survive candidate due diligence.,global,medium,53% of candidates report ads differing from reality,Greenhouse,https://www.greenhouse.com/blog/greenhouse-2024-state-of-job-hunting-report,2024-12
rc-136,employer_brand,attract,"Audit your Glassdoor, SEEK Company Reviews and Google reviews quarterly. Candidates check before applying.",55% of job seekers avoid companies after reading negative reviews.,global,high,Candidate review-checking behaviour,AIHR,https://www.aihr.com/blog/candidate-nps/,2024-08
rc-137,employer_brand,attract,"Respond to every recent negative review with a calm, specific reply. Silence reads as confirmation.",Owner responses materially lift candidate trust scores.,global,medium,Review responsiveness drives perceived employer credibility,AIHR,https://www.aihr.com/blog/candidate-nps/,2024-08
rc-138,sourcing,attract,Run a quick LinkedIn search of past employees who left in good standing. Boomerang hires are fast and high-quality.,Returning employees onboard faster and bring intact knowledge.,global,medium,Passive sourcing studies favour warm networks,Hootrecruit,https://hootrecruit.com/blog/passive-talent-sourcing/,2024-10
rc-139,sourcing,attract,Source from communities and meet-ups before job boards for niche technical roles. Domain trust converts.,"Warm community outreach converts at 40 to 60%, well above cold sourcing.",global,medium,Warm outreach reply rates 40-60%,Metaview,https://www.metaview.ai/resources/blog/candidate-outreach,2024-10
rc-140,sourcing,attract,"Track which channel produced each shortlist, not just each hire. Channel-to-shortlist ratio is a cleaner quality signal.",Hire-only attribution misses the channels that consistently produce strong finalists.,global,medium,Multi-touchpoint attribution beats last-touch,Crosschq,https://www.crosschq.com/blog/candidate-sourcing-metrics-how-to-measure-and-apply-proper-channel-attribution,2024-08
rc-141,ai_automation,plan,"Use AI to draft three candidate persona briefs before the campaign. Faster than starting from blank, sharper than recycled.",AI-drafted briefs save hours and force the team to pick the persona that matters.,global,medium,AI saves recruiters ~20% of time,LinkedIn,https://business.linkedin.com/talent-solutions/resources/future-of-recruiting,2025-01
rc-142,ai_automation,analyse,Have AI summarise candidate experience survey free-text into the top three themes after each campaign.,AI summarisation makes qualitative data actionable on small teams.,global,medium,AI augments analysis tasks effectively,LinkedIn,https://business.linkedin.com/talent-solutions/resources/future-of-recruiting,2025-01
rc-143,measurement,analyse,"Track diversity of the applicant pool, the shortlist and the hire separately. Drop-off between them surfaces structural bias.",Stage-level diversity tracking pinpoints where the funnel narrows unfairly.,global,high,Stage-level monitoring is the recommended bias-audit approach,Impress.ai,https://impress.ai/blogs/the-2025-guide-to-eliminating-bias-in-ai-recruitment/,2025-03
rc-144,measurement,analyse,Review hiring manager satisfaction quarterly. Their honest feedback predicts campaign quality.,HM satisfaction is one of the three most-used QoH inputs.,global,high,44% of TA pros use HM satisfaction for QoH,LinkedIn,https://business.linkedin.com/talent-solutions/resources/future-of-recruiting,2025-01
rc-145,measurement,analyse,"Capture cost per quality hire, not just cost per hire. Divide spend by hires that pass the 90-day rating.",Quality-adjusted CPH reveals where spend is wasted on hires that do not stick.,global,medium,Two-category quality framework,Ashby,https://www.ashbyhq.com/blog/recruiting/quality-of-hire,2024-09
rc-146,candidate_experience,attract,Make the apply button visible above the fold on every device. Hidden CTAs lose mobile candidates.,Above-the-fold CTAs lift conversion on small screens.,global,medium,Mobile-first design lifts completion,HireVire,https://hirevire.com/articles/mobile-recruitment-statistics,2024-08
rc-147,candidate_experience,attract,Avoid forcing candidates to create an account before applying. Account walls drop completion by 30% or more.,Frictionless apply is the single biggest lever on completion.,global,high,Account creation is a top abandonment trigger,Pin,https://www.pin.com/blog/applicant-drop-off-rates/,2025-12
rc-148,strategy,plan,Refresh the job ad if it has been live more than 14 days without conversion. Stale ads keep underperforming.,Two-week refresh cycle catches dead campaigns before budget is wasted.,global,medium,Recurring ad performance optimisation tactic,Indeed,https://www.indeed.com/hire/resources/howtohub/recurring-job,2024-04
rc-149,strategy,plan,Run one campaign at a time per recruiter on volume roles. Splitting attention slows every fill.,Sequenced campaigns close faster and produce better hires than parallel ones.,global,medium,Capacity research shows reqs-per-recruiter discipline,SelectSoftwareReviews,https://www.selectsoftwarereviews.com/blog/recruiter-capacity-model,2024-06
rc-150,strategy,engage,Run a weekly 20 minute campaign stand-up with the hiring manager. No agenda beyond pipeline and decisions.,"Short, regular touchpoints keep decisions moving and the panel calibrated.",global,medium,Cadence-based reviews accelerate hiring,Gem,https://www.gem.com/blog/preparing-for-the-kickoff-meeting-with-your-hiring-manager,2024-04
